日期,来源,类别,关键词,标题,摘要,链接
2026-09-20 18:33:00,东方财富·数据宝,行业,医药,融资客积极关注5股（附名单）,分行业来看，医药生物融资净偿还额居首，为21.40亿元；紧随其后的是计算机和有色金属，净偿还额均在10亿元以上。建筑材料融资净买入居首，净买入额12.99亿元；通信、基础化工净买入额依次为3.01亿元、2.80亿元。,http://finance.eastmoney.com/a/202609203879415292.html
2026-09-20 18:29:00,东方财富·证券日报,行业,医药,沪市医药公司推动产业迭代升级 资本市场韧性筑牢创新根基,要回答这一问题，不妨以生物医药产业一窥究竟。,http://finance.eastmoney.com/a/202609203879451616.html
2026-09-20 18:25:27,东方财富·中国证券报·中证金牛座,行业,医药,市场监管总局：将进一步加强数据、算法、规则、流量等监管，压实平台企业“守门人”责任,提升药品安全保障水平，完善药品安全责任体系，支持医药产业创新发展。强化工业产品源头治理，加强质量风险监测和监督抽查，提高线上线下监管一致性。实施特种设备全生命周期监管，提升本质安全水平，确保安全状况总体平稳可控。 　　六是提升监管执法效能。,http://finance.eastmoney.com/a/202609203879441471.html
2026-09-20 18:20:23,东方财富·招商证券,行业,医药,招商策略：变盘节点 积极布局,融资资金净买入电子、电力设备、建筑材料、机械设备等，净卖出医药生物、国防军工、汽车等。重要股东净减持规模缩小，计划减持规模下降。 　　【主题·风向】高端化升级重塑电子布供需格局。AI服务器需求快速增长，PCB逐渐向多层、高速方向演进，推动电子布需求结构发生变化。,http://finance.eastmoney.com/a/202609203879408397.html
2026-09-20 18:17:19,东方财富·界面新闻,行业,医药,新时空：人民币柜台拟纳入港股通，海清智元周涨超七成,周五，金斯瑞生物科技公告拟配售7712.6万股新股份，净筹约23.27亿港元；恒瑞医药1类创新药海曲泊帕乙醇胺片获批新增两项适应症。恒生生物科技指数纳入德适-B、剔除和黄医药，变动于9月11日收市后实施、9月14日生效。,http://finance.eastmoney.com/a/202609203879411755.html
2026-09-20 18:02:57,东方财富·第一财经,行业,医药,商业秘密｜中国创新药企出海东南亚：机会是真的，难也是真的,近日，在2026张江药谷大会暨上海国际生物医药产业周上，上海医药国际业务事业部总经理严军这样表示。,http://finance.eastmoney.com/a/202609203879437941.html
2026-09-20 18:00:31,东方财富·光大证券,行业,医药,光大策略：外部扰动减弱 市场或将延续回升态势,方向三，有自下而上景气的其他板块，例如农林牧渔、医药、非银金融等，这些行业更多依靠自身基本面逻辑驱动而走出独立行情，不依赖宏观政策的强刺激，能够在市场震荡中提供一定的超额收益。,http://finance.eastmoney.com/a/202609203879407380.html
2026-09-20 17:56:35,东方财富·每日经济新闻,行业,医药,000756：周末披露连续斩获三张药品注册证书，涉及阿尔茨海默病等,阿尔茨海默病用药添新剂型 　　新华制药从事开发、制造和销售化学原料药、制剂、医药中间体及其他产品，是国内解热镇痛类原料药及制剂领域的龙头企业。,http://finance.eastmoney.com/a/202609203879409563.html
2026-09-20 17:52:25,东方财富·北京商报,行业,医药,多措并举优化营商环境 北京“十五五”打造国际一流“北京服务”,具体来看，要加快建设北京（京津冀）国际科技创新中心，推动区域科技创新和产业创新深度融合；推动建设一批共性技术平台，聚焦机器人、智能网联汽车、生物医药等重点领域，完善园区共建共治共享机制；推动京津冀企业开办、变更、注销规则和流程全面统一；加强法院、检察机关跨区域司法协同工作机制；围绕人口流动,http://finance.eastmoney.com/a/202609203879453342.html
2026-09-20 17:46:14,东方财富·21世纪经济报道,行业,医药,LPR已连续16个月不变；长鑫科技宣布第五代技术平台正式量产,方向一，硬科技赛道，聚焦半导体、AI、高端制造等具有核心技术壁垒与自主创新逻辑的领域；方向二，政策链，即沿着政策发力的重点方向进行布局，涵盖消费链、地产链、基建链以及各类细分领域；方向三，有自下而上景气的其他板块，例如农林牧渔、医药、非银金融等，这些行业更多依靠自身基本面逻辑驱动而走出独立行情,http://finance.eastmoney.com/a/202609203879404147.html
